title,rating,date_watched,times_watched,genre,trippy,tv_show
WNUF Halloween Special,5,"10/2/2021","1","horror",0,false
RiffTrax: Blood Theater,5,"10/4/2021","1","horror",0,false
Rifftrax: Frankenstein Island,-1,"10/5/2021","1","horror",0,false
RiffTrax: Astro Zombies,1,"10/5/2021","1","horror",0,false
Killer Sofa,2,"10/5/2021","1","horror",0,false
A Chinese Ghost Story,3,"10/6/2021","1","horror",3,false
Drive Thru,2,"10/7/2021","1","horror",0,false
Death Machine,3,"10/8/2021","1","horror",0,false
Dolls,4,"10/8/2021","1","horror",0,false
V/H/S/94,4,"10/9/2021","1","horror",1,false
Z-O-M-B-I-E (Japanese dubs / no subs),5,"10/9/2021","1","horror",0,false
House,3,"10/11/2021","1","horror",2,false
Hatchet,3,"10/12/2021","1","horror slasher",0,false
RiffTrax: Bloody Pit of Horror,2,"10/12/2021",1"1","horror",0,false
Creepshow 2,4,"10/13/2021","3","horror",0,false
RiffTrax: MANOS The Hands of Fate,2,"10/13/2021","1","horror",0,false
The Lighthouse,4,"10/14/2021","1","horror",4,false
The VelociPastor,2,"10/14/2021","1","horror",2,false
Hellraiser,4,"10/15/2021,"1","horror",0,false
Llamageddon,3,"10/15/2021","1","horror",1,false
House (1977),4,"10/16/2021","1","horror",5,false
Hell House LLC,4,"10/17/2021","1","horror",0,false
Da Hip Hop Witch,0,"10/17/2021","1","horror",0,false
Scarecrows,3,"10/17/2021","1","horror",0,false
Sleepaway Camp II: Unhappy Campers,3,"10/18/2021","1","horror",0,false
Jigsaw (2002),1,"10/19/2021","1","horror",0,false
RiffTrax: Beast of the Yellow Night,3,"10/19/2021","1","horror",0,false
Hatchet II,4,"10/20/21","1","horror slasher",0,false
The Brain (1988),3,"10/21/2021","1","horror",2,false
Jack Frost,3,"10/21/2021","1","horror",0,false
Hatchet III,4,"10/22/2021","1","horror slasher",0,false
Dune,4,"10/23/2021","1","sci-fi",0,false
In The Mouth Of Madness,4,"10/24/2021","1","horror",4,false
RiffTrax: Contamination,4,"10/24/2021","1","horror",0,false
Big Top Evil,0,"10/25/2021","1","horror",0,false
Transylvania 6-5000,4,"10/26/2021","1","horror comedy",0,false
Edge of the axe,-1,"10/27/2021","0","horror",0,false
Def By Temptation,3,"10/29/2021","1","horror",0,false
Shaun of the Dead,5,"10/30/2021","5+","horror",0,false
Hellbound: Hellraiser 2,3,"10/31/2021","1","horror",0,false
The Shining,5,"11/4/2021","5+","horror",4,false
Judge Dredd,3,"11/6/2021","1","action",0,false
Friday the 13th - Part II,2,"11/10/2021","1","horror slasher",0,false
The Visitor,3,"11/13/2021","1","horror",5,false
Creepshow,3,"11/14/2021","2","horror",0,false
Doctor Sleep,3,"11/15/2021","2","horror",2,false
Overlord,4,"11/16/2021","2","horror",0,false
Alien,5,"11/17/2021","5+","horror",0,false
Aliens,5,"11/18/2021","5+","horror action",0,false
Alien 3,3,"11/18/2021","3","horror action",0,false
Alien Covenant,3,"11/25/2021","2","horror action",0,false
Monster Hunter,2,"11/29/2021","2","action",0,false
Scott Pilgrim vs. the World,5,"11/30/2021","5+","action",0,false
Prometheus,3,"12/1/2021","3","action",0,false
Shin Godzilla,4,"12/2/2021","3","action",0,false
Mad Max: Fury Road,5,"12/4/2021","5+","action",0,false
V/H/S,4,"12/5/2021","5+","horror",0,false
V/H/S 2,4,"12/6/2021","4","horror",0,false
Hot Fuzz,5,"12/9/2021","5+","action",0,false
The World's End,4,"12/9/2021","4","action",0,false
Die Hard,5,"12/11/2021","5+","action",0,false
Kung Pow: Enter the Fist,4,"12/12/2021","5+","action, comedy",0,false
Commando,5,"12/13/2021","5+","action",0,false
Jingle All The Way,5,"12/14/2021","5+","action comedy",0,false
Predator,5,"12/16/2021","5+","action",0,false
Tropic Thunder,4,"12/26/2021","5+","action",0,false
Arcane,4,"12/27/2021","1","action",0,true